,LENMDA002,RSGK023,LENMDA005,RSGK012,PROBANDRS002,RSGK015,LEGK010,LEGK019,LENMDA035,RSGK014,RSGK013,RSGK025,RSGK022,LEGK011,LEGK016,LEOVERLAP096,LENMDA178,LENMDA124,LENMDA148,LENMDA155,LEUNKNOWN111,LEUNKNOWN119,LENMDA043,LENDMA032,LEOVERLAP150,RSGK007,RSGK031,RSGK009,LENDMA033,RSGK008,LENMDA011,RSGK006,LEGK013,LEGK014,LENMDA097,LEGK025,RSGK018,RSGK020,PROBANDRS001,RSGK029,LENMDA008,RSGK016,RSGK011,LENMDA053,LEGK015,LEGK012,RSGK010,LENMDA036,RSGK021,LENMDA007,RSGK026,LENMDA181,LENMDA175,LEUNKNOWN107,LENMDA186,LENMDA117,LEUNKNOWN108,LENMDA174,LENMDA120,LENMDA133,LEOVERLAP018,LENMDA103,LENDMA126,RSGK004,RSGK003,LENMDA014,LEOVERLAP162,LENMDA085,LEOVERLAP153,LENMDA012,LENMDA015,RSGK002,RSGK005,LEOVERLAP163,LENMDA046
lh_bankssts,1.5977373969038062,1.782512974316,1.605506600364079,1.8383838383838382,1.8770601062807861,1.6744300105176522,1.8233407656600427,1.8692942079018027,2.008377801060728,1.7727403118969383,2.0349188963646796,1.9003496503496502,2.0425076931101027,1.711229404363585,1.594690213629385,1.8629073300893493,1.6055976996360484,1.6913683208836034,1.6497472711823788,1.7989811002006126,1.8313693758386522,1.8023200595664364,1.9277071919348345,2.03319869183323,2.1242197918010928,1.6805192434436684,1.7689660795825177,1.7893569844789354,1.9627359848243382,1.812876148242002,1.6672847233088197,1.8107212234477392,1.5728512897187594,1.7056261436648066,1.6302744501392752,2.1324182146966955,1.7945634174408485,1.8409822256917956,1.8102954912922051,1.832251082251082,1.628503075871497,1.8130447241260916,1.7395980843527126,1.8774155061805664,1.837516539496317,1.6881783990217725,1.6523320072930228,1.5843520994802256,1.8372320450633703,1.6825888988336246,1.947736652186095,1.732139777566607,1.8639069264069263,2.0510150407249226,1.8322336546974227,2.1422317519878495,1.3915002680237567,1.628192640692641,1.7789512677111852,1.9426406926406927,1.8767459448182338,1.8134534910218578,1.6766168334808749,1.7796575878590006,1.911480274670221,1.7923251361830272,1.6707251082251082,1.9285911595793879,2.043605130989964,1.841668030004753,1.6858781918355026,1.5782391229510322,1.8936835522201378,1.9907658471025866,1.6172950329623654
lh_caudalanteriorcingulate,1.8790662101097424,1.8312055856050913,1.7360344132310046,1.6651835818502485,1.9239745435795457,1.749702901816165,1.595010561727429,1.9155844155844155,1.6680108509376803,1.5651567308193817,1.5553031306043357,1.8687978687978684,1.5589892035675168,1.5854009080263416,1.6358233792850307,1.6518905322766335,1.6926217063375455,1.8302883953547742,1.6348885596636094,1.7410582303874984,1.845866318750152,1.585158563419433,1.6347319497726003,1.623965800672628,2.1038668528099422,1.9970447907331808,1.7538775721994901,1.6559233449477353,1.7053553318613561,1.687255833597297,1.7112071663276482,1.8985744577342674,1.6273585108926476,1.765154671282734,2.106339941118078,1.6712970573730068,1.6002757919244488,1.8971612231725856,1.6243024044228866,1.5930735930735929,1.8163021189336979,1.5949447269511003,1.611798901216327,1.8211423616544098,1.5989743006299044,1.708556689480384,1.898241150597208,1.5842709055892141,1.5337062535857717,1.5974213706281217,1.6945308161927806,1.6235605180727128,1.5933982683982684,1.6265829466547765,1.75483788889586,1.5090214663385397,1.5643177506438903,1.850270562770563,1.687627644283536,1.781385281385281,1.8170095968288742,1.7759046133029874,1.8136943932418517,1.551351617220155,1.6748803321357366,1.7877368019366011,1.7145246014148454,1.8998843137410317,1.6568886086745762,1.652404745099465,1.5014363324811328,1.5263437919355776,1.6620696376793935,1.9079759714450375,1.9377287302559347
lh_cuneus,1.6211730278571894,1.5082179578165993,1.647833971298561,1.611431778098445,1.8115367932357413,1.664486711160495,1.8373402701715953,1.7467258479916707,1.6693245778611634,1.7363740676993693,2.307739449305714,1.9725274725274724,1.7702628696604599,1.629043455444264,1.725316643881146,1.6548336895783642,1.6465449539685508,1.732586750493512,1.7619714432281157,1.9998930947101683,1.7555935308228177,1.7132346443940647,1.9187089634244108,1.6593845318744918,1.5869345800240107,1.775909837697899,1.749272816224871,1.8449741315594976,1.5945856538226018,1.8065938126913736,2.0494680018776408,1.6245722109922816,1.8029100529100526,1.9125002151724666,1.5066928043713235,1.6631733245657294,1.9471644954818772,1.6042523076267812,2.462796878185706,1.6601731601731602,1.9053884711779445,1.592896725988721,1.6203082645633338,1.6327009336045484,1.5904835413634424,1.8085951308842878,1.577446212459207,1.8582237717001533,1.7334924112032544,1.7114692230725987,1.5607164182408197,1.8866636750783095,1.9246753246753245,1.8467477421889475,1.6967640518365157,2.075093605581411,1.6536835256172338,1.9689393939393938,1.6891256999984596,1.6991341991341988,1.8359672456057998,1.6966932016821152,2.135938530574391,1.5778106120330713,1.7678350488329668,1.6238289775710422,1.944240312532996,1.854486671289103,1.8510504968690649,1.6015844139440583,1.8264925685984645,1.6073054375611422,1.7574498672059646,2.008898435541717,1.6246491970453776
lh_entorhinal,1.7044696067542624,1.6465950690248312,1.7907270513794167,1.735810485810486,1.7521645021645023,2.120532671782227,1.9507640953424086,1.5808674447914954,2.280792378353354,1.8529964011891726,2.362469859457811,1.884865134865135,2.272323058467637,1.84464937672769,1.7827989752762015,1.610050972516658,1.90434959667622,1.7979638710574186,1.958436243742024,1.8809787773202409,2.034778778402825,1.831020414353748,2.235416495579097,1.9836556422901805,1.9687522534677002,1.973707996092991,1.8966991341991344,1.8937018266286558,1.815064490767302,1.7216503009185937,1.6890562248995984,1.8298819452189028,1.8370292878325005,1.9466120960307025,1.9076890923423397,1.8211408844320238,2.2423109719343124,1.8540872154840222,1.7226817541713488,1.7694805194805197,1.9904875825928459,2.150000149416201,2.3327330275758134,1.7035544776508629,1.523809523809524,2.055352724027423,1.365938654841094,1.750350837800668,1.9319876910238356,1.8233759130383604,2.844974675238134,2.267671488403196,1.7754329004329008,2.1245631878161997,1.62999037999038,1.9204941400063353,1.7427533609962147,1.8099025974025977,2.3298035464751106,1.7597402597402598,2.0164880300422467,1.790027292244587,1.9093553009301372,1.3978506619068867,1.9037941788882338,1.8739065060203273,2.0077156583254148,2.271874333309313,1.8475079538934962,2.189494183659935,0.9415584415584416,1.8606692365610207,1.6480044345898006,1.958647083386547,1.8342552509219177
lh_fusiform,1.6287360884458757,1.5969819261730345,1.5758777905413226,1.8618726952060285,1.793034211480147,1.5443634695502928,1.7928304125593284,1.7933311414324071,1.5026903990318623,1.7234131330516873,2.056972144321542,1.680735930735931,1.7286157617482916,1.565108530546309,1.6106955293702279,1.6909685655389992,1.675889160061214,1.7441968086457125,1.6538999991417256,1.6145813536057438,1.651238294161721,1.7274568941235606,1.880462581682094,1.622080916257623,1.6071986121376367,1.6713328520694346,1.77980341576232,1.5630609228170202,1.6603885479387488,1.523334389188048,1.749393678610546,1.6642925212741062,1.7938758772092103,1.6644497743342024,1.6207202370881477,1.72664255575648,1.8303425246154488,1.546187436308898,1.786105460804256,1.7002164502164503,1.7186147186147183,1.7301674316254958,1.7468791566940256,1.7458144265373183,1.518680141511262,1.8079929144186173,1.5463330359911729,1.7063744889462704,1.7724012934856306,1.612215687110202,1.8773212543515276,1.6304895646359059,1.8439393939393938,1.6622232919674025,1.5552070044823667,1.695832622661891,1.562818973566455,1.6200216450216451,1.671607016057991,1.5681818181818181,1.5586078078547958,1.745424007434355,1.5439618055275808,1.455506701155118,1.5400928433672947,1.5937010659418498,1.657760532150776,1.4638571567410308,1.7261982383314773,1.559234677234855,1.7414091242731748,1.8088875662872257,1.8085532353825036,1.7317250443680214,1.681124159971595
lh_inferiorparietal,1.5739542694621422,1.6700784807453533,1.7393330051278921,1.5078162578162577,1.7567295319697336,1.8649148287305983,1.7964337870964378,1.587402049427366,1.8449599181306497,1.642218223543525,2.2638666554329205,1.8521478521478523,1.5742189537370264,1.7486150437008663,1.774196625687957,1.5494166301166452,1.9464390186657303,1.6915875109762117,1.857950460398226,1.6972099039172208,1.84196437909493,1.9240061160351012,1.6306199822459986,1.5657376982678186,1.6951398029853315,1.6886085664973942,1.6447103125185316,1.684932953225636,1.624462737916553,1.7160278745644602,1.7603687477181453,1.7625672630337632,1.7497538531675076,1.6618382126236326,1.7805074696420569,1.8274699983560743,1.7756185103360158,1.5402589840585728,1.7341585942352644,1.7142857142857144,1.5415242652084757,1.5324510271894745,1.9847546664325975,1.7407741355030515,1.9383324211550517,1.7800195490958541,1.661734375279957,1.6319016478016166,1.8274526678141136,1.5864501961548376,1.9602968859679242,1.7055111216696581,1.7536796536796535,1.686230702067725,1.851993015036493,1.8801543984470812,1.9939254744213175,1.650270562770563,1.6107020675293766,1.8095238095238095,1.6149983049079433,1.5780331737464037,1.8147997373178588,1.6124829293244725,1.8486251772292364,1.730234263144387,1.6542775314116775,1.5788593561313566,1.8499744739078545,1.858718078388609,1.6691404082075414,1.966014556460916,1.646948579875409,1.5970885569787507,1.6891494067820962
lh_inferiortemporal,1.6398954035570277,1.5107954461921738,1.8527050870571293,1.8701298701298703,1.6762999722051115,1.6451305497805422,1.6770412820111615,1.8096334045701132,1.7122653768995233,1.6411098941219422,1.811632142957444,1.8399933399933397,2.0086710478276744,1.6991733880907007,1.4078485958812141,1.8624097610600587,1.9059335377620714,1.7222828113535122,1.78159621883886,1.6738319607222045,1.7153157546115771,2.0104323691280217,2.0433838970424336,1.752388099777658,1.6080338323224503,1.7113557535928843,1.6554853821977111,1.6802607961144547,1.8097594804422115,1.6768820610284023,1.7938324727481356,1.5824866724844684,1.6871832614804498,1.6767461783075333,1.879145183839571,1.6383500465778946,2.0264284444587006,1.5862274989515657,1.812656766380753,1.8744588744588746,1.6852358168147645,1.7655072733895685,1.7969061218436766,1.718925702811245,1.9887183761489104,1.8641516523042627,1.5736896803230267,1.8163651466368356,1.7842669378813953,1.7172762383732845,2.3445574235931868,1.835965491148418,1.5168290043290042,1.8017164455412982,1.6595004566019058,1.6156160912258473,1.571431302637565,1.7995129870129867,1.8955698084163162,1.7218614718614718,1.808721248630887,1.5991862630813112,1.677358021935111,1.6919048976148259,1.6439168759518343,1.5961691330329264,1.6412654418751977,1.5123280336282272,1.993233039108305,1.731086947191932,1.825343762818718,2.1444718898650885,1.6582056155226887,1.7488204961515925,1.7282864013377006
lh_isthmuscingulate,1.7844318900200344,1.826200299648895,1.6388439408568707,1.6381273047939715,1.6711991810741238,1.7039736738125233,1.679756037135555,1.6686530768809253,1.6535598547793668,1.5966202472226565,2.0212889520118438,1.9508824508824512,1.6527277942940595,1.7336893473198969,1.7490014923529473,1.729642327078909,1.7869434182723922,1.8155742579947585,1.7300513908337607,1.8943709745539017,1.6616190170059049,1.9061787177729208,1.6517038366631864,1.741966422689314,2.108875700481392,1.6582919636041213,1.5127171914843147,1.6718139583993241,1.5911003320641874,1.8560606060606062,1.5037943983727116,2.109174601242874,1.644562562233245,1.6118528636745995,1.6325934081590854,1.738259630664694,1.8124969092860417,1.5625293911365026,1.9725383233050267,1.6904761904761905,1.7904989747095008,1.8308935144438385,1.671448675724315,1.7010503051165704,1.6264782968395195,1.7970873392560138,2.009148660998921,1.6221162803441287,1.6497027069316226,1.4924044544297708,1.7750895685679124,1.9116319994368778,1.6733766233766232,1.4508658769729257,1.7560787307164119,1.6090474566084323,2.0733982577195507,1.9185606060606062,1.6454980046418974,1.6320346320346324,1.6974247639910294,1.6777332327960564,2.1332915744207255,1.541058138949451,1.8125204770058836,1.558700901751353,1.6681343047196706,1.6263398264887003,1.888863383250343,1.864817383499622,1.58453828560419,1.9444281535912986,1.6420632213315138,1.7650870834364305,1.6104362897611844
lh_lateraloccipital,1.75904225958255,1.643535095140529,1.7612687048478997,1.6861872695206026,1.7588979954009694,1.696186943327404,1.702435064935065,2.010014247356019,1.6422337824776851,1.6128800917957546,2.378745752239728,1.6706626706626708,1.7966671882334533,1.678874071271744,1.6628820048596717,1.7057582629884493,1.6943041090557989,1.6210447214615171,1.6806405302287566,1.9107050469855347,1.7821816248204727,1.7037085551578306,1.9129428235119292,1.6799593757425084,1.5785363116257427,1.8558360359975914,1.8083162841724485,1.6242740998838556,1.723703375309801,1.6832171893147498,1.8415819120638395,1.562597595888075,1.69877396885429,1.690982809921981,1.5795502249733813,1.8439503534440242,1.921284694517174,1.6116814069355945,1.7946152970797002,1.8365800865800865,1.9784688995215307,1.650206526200843,1.5958965989931313,1.7686720909612477,1.613083459969073,1.6315434899772248,1.6191109455363752,1.7734727195208826,1.6780368226151359,1.688543055631663,1.5413262218870727,1.7742076690247421,1.746374458874459,1.6439904012451498,1.6046088908407752,1.9660806673001796,1.7080822396168331,1.594805194805195,1.7789597720296122,1.628787878787879,1.7298323162780995,1.6863153407868856,1.7580904920494986,1.5424689064402346,1.6222733951774295,1.605137764398261,1.8202275366909513,1.8892309091201505,1.8791629466682616,1.815007210543657,1.7320721825303342,1.4752139010229302,1.8384400152692835,1.8795673252614942,1.767132717998807
lh_lateralorbitofrontal,1.7667673738220202,1.6162499381857207,1.9757751309323452,1.6790925124258456,1.526515564147103,1.765234459675515,1.676121368591248,1.6202805633185384,1.673273880590954,1.7312105565117613,1.5652309537851707,1.8240925740925744,1.9904814061440568,1.4261170370862564,1.4991709526311348,1.7722738614298528,1.5469544793046117,1.825938006626491,1.847613864961737,1.5691083306936966,1.6978851787843856,1.8680290491884692,1.647063941779389,1.6960608185507782,1.752023653100889,1.6596543790273253,1.7452655221490838,1.8530250237567314,1.6319573628810575,1.6591964945623483,1.5860676472122253,1.6652294221289716,1.5993338061611155,1.698640820141953,1.7893769672714723,1.661899282152447,1.8831933991705525,1.7342864224292378,1.642654443037795,2.0963203463203466,1.6067441330599228,1.9569064390147524,1.642903860024783,1.9420369790851717,1.7320590904413071,2.033816362129615,1.6383528403310492,1.8339110462451003,1.6301569916027747,1.8997596012363944,2.0939835700930716,1.725762855031148,1.5995670995670996,1.881622488655146,1.646638922001241,1.8666861593690867,1.5939730425774299,1.5716450216450217,1.9769632030627229,1.825757575757576,1.6940437072967192,1.631430448503619,1.5322465744911626,1.7320431438676573,1.6052077984519018,2.168356168133426,1.7194462042023018,1.5243796424718106,1.9118198385597394,1.9051943097398345,2.1105192214707884,1.628326178741962,1.6583721156891889,1.4976136057677414,1.7628590986907662
