,LENMDA002,RSGK023,LENMDA005,RSGK012,PROBANDRS002,RSGK015,LEGK010,LEGK019,LENMDA035,RSGK014,RSGK013,RSGK025,RSGK022,LEGK011,LEGK016,LEOVERLAP096,LENMDA178,LENMDA124,LENMDA148,LENMDA155,LEUNKNOWN111,LEUNKNOWN119,LENMDA043,LENDMA032,LEOVERLAP150,RSGK007,RSGK031,RSGK009,LENDMA033,RSGK008,LENMDA011,RSGK006,LEGK013,LEGK014,LENMDA097,LEGK025,RSGK018,RSGK020,PROBANDRS001,RSGK029,LENMDA008,RSGK016,RSGK011,LENMDA053,LEGK015,LEGK012,RSGK010,LENMDA036,RSGK021,LENMDA007,RSGK026,LENMDA181,LENMDA175,LEUNKNOWN107,LENMDA186,LENMDA117,LEUNKNOWN108,LENMDA174,LENMDA120,LENMDA133,LEOVERLAP018,LENMDA103,LENDMA126,RSGK004,RSGK003,LENMDA014,LEOVERLAP162,LENMDA085,LEOVERLAP153,LENMDA012,LENMDA015,RSGK002,RSGK005,LEOVERLAP163,LENMDA046
lh_bankssts,0.009439187051528547,0.004442865158343274,0.011722383997422554,0.005562643901016317,0.0038165250629949746,0.01969125900727314,0.007279384154447784,0.005070366008580354,0.002785485016325329,0.007879991635358796,0.0035093519906879023,0.004539940452046487,0.006788953854943761,0.009078689395010069,0.010370309279195338,0.007553066929607744,0.010473521601850496,0.010683562066485094,0.012436212359933684,0.0045186564263772775,0.00782493408936718,0.00932373685177223,0.001944495807026235,0.002289855439872143,0.0013592614104946316,0.004992648744564145,0.006014149802244881,0.005360486544684119,0.002967391955243051,0.006697624352124449,0.006262189176963415,0.004126406776059585,0.01256866762788052,0.006489274703450337,0.019763248728420616,0.0013037803953960846,0.009737073366334026,0.008343352912747752,0.006872684852842032,0.003818182447227073,0.015664485338033367,0.005146702947625263,0.005373492129952874,0.006538995296423589,0.0067569702996186885,0.014381603503354344,0.005016642486449843,0.012693565056409702,0.005276327658683098,0.010687026704588988,0.0008281644726430104,0.010341572819837016,0.006414300195492123,0.002239937812854574,0.0051664279171863845,0.002077927858523085,0.02537464053435334,0.006980034668546856,0.006362951603983979,0.004861475112045249,0.0036753257255855458,0.0054860184116603695,0.008938406876252435,0.006824069214914486,0.002605307485794166,0.008380271651175466,0.008162371195538571,0.009630393084766172,0.0012329797578759928,0.004321693294127046,0.004090289347458284,0.006788713995906661,0.003930316417892693,0.0014964407882233999,0.02489191633989292
lh_caudalanteriorcingulate,0.005076269649408735,0.003507990389664423,0.012953083846179042,0.011804065286913766,0.003848243186909481,0.0092915838423851,0.011834327827848979,0.0021281064340560683,0.018942923172174466,0.02081716663257237,0.031197834821127382,0.0052858346310452435,0.020741825865384294,0.009481238716409612,0.018515926970146944,0.011453449492873096,0.005990668752056591,0.006133022445090181,0.011906850638828905,0.006279227229081116,0.007798362205207729,0.014012847448869907,0.008856895520650018,0.014020001290215928,0.0027834179641597107,0.006058598047580682,0.019668171252008194,0.011430893184219275,0.007903066568100242,0.009106756330959068,0.01415357042952266,0.0012443304121854703,0.016489099043668028,0.0055675087104187,0.001453475999910018,0.012600740168415493,0.014043360012986762,0.007248985857102578,0.011863955773802433,0.030186938268221494,0.005694284546724904,0.010406732700923961,0.011726904450529152,0.008955188672907411,0.012234899094817247,0.015302563690896831,0.011706704030482929,0.01565524511380447,0.0174277373118581,0.012669520971944792,0.00804736391943016,0.01369720161061051,0.019668224292387623,0.012660752723937567,0.009718961890157812,0.017012935017194374,0.007077056224649034,0.005413790120803421,0.01036079915608925,0.009195629827035088,0.004510492351021662,0.011836488286122193,0.0024740883284020045,0.029328366122917105,0.010892939937157748,0.008028353300436103,0.007930451433718944,0.006067867469705748,0.006100644140898009,0.011682296765301598,0.023048456106653625,0.009772995526871614,0.016306532562477993,0.0048460718445875635,0.003421414912364219
lh_cuneus,0.009038299966019873,0.024046077183214432,0.0136367345886878,0.01750061310418385,0.0075867497179341326,0.007307534476640904,0.006308435434398607,0.009047982056320923,0.008210342093721805,0.006296949615256019,0.0019995172060441415,0.0068056279906020915,0.005124079380285726,0.015104050353765948,0.00572723421662078,0.014633183345727618,0.018173084644348983,0.01081588014097313,0.005036815810531915,0.0025360506023949262,0.003162439172415439,0.0054073509337152345,0.00321322696213759,0.01127268425149858,0.011154033869564468,0.005443115013450636,0.005141753712276328,0.005000341734603993,0.012024135482686622,0.007069126452712859,0.0010266316266280072,0.008641955016429136,0.004867594849617554,0.004793472404030875,0.017069668589364137,0.016983962960948534,0.0015313023895476884,0.012641748298385914,0.0014706240228035247,0.009852816384854633,0.003134164596406479,0.006129905090949439,0.007450498406609404,0.008814332596725238,0.012862193718766863,0.0045616183196826475,0.017181299406358933,0.005534097437118834,0.006484649154881037,0.011914212503180832,0.017990774004041907,0.0029566106562861575,0.002931630556146716,0.001582249229322321,0.00759499377722378,0.002571934923030393,0.003690906725822249,0.004625817404034583,0.005731285440487143,0.007355412039712778,0.0029859114506051022,0.006774097310238717,0.00022938353640232335,0.01005534814869283,0.0040572206619034715,0.0049643938137462415,0.003064883972637651,0.0017232238731610438,0.002968200685152474,0.01228038718917323,0.0057084145629380904,0.01109461041945284,0.007606280942230128,0.0019553886411312477,0.010022840294743061
lh_entorhinal,0.008320967178513028,0.016623426941272824,0.003422483268855268,0.006979483571032807,0.0005624019123236808,0.001851624255809041,0.008138403832495414,0.021984780064944323,0.0006774418631158058,0.009991512647154746,0.001720898430944337,0.00220922035246272,0.0011664334279055041,0.004759449415909307,0.007734036460895353,0.027516012538992107,0.004570999538954567,0.016860847495239303,0.004305911536570037,0.0008933727442870542,0.002848822553815425,0.0019750299959718654,0.005133431455787975,0.004136112041559492,0.0029272270221747444,0.003895125788844962,0.014434477930989299,0.011707848287792767,0.00642573387268471,0.006546427266479202,0.008007613556250737,0.01778059517749536,0.0036811871758953302,0.001673133157594553,0.004067955755673516,0.0050001389982672236,0.004685694996280688,0.0050621967447024635,0.008637290391289108,0.006862601766489634,0.005555868068817477,0.0037287726680398895,0.009544317281756047,0.0017706201673704112,0.00042698333826567646,0.008900236015654454,0.0017545461333734456,0.015617244136008847,0.002457006969840057,0.007735551595743137,0.006479301954762712,0.006239939271571542,0.004199287366976502,9.070184881556101e-05,0.007603958917053696,0.0035760824226664686,0.0013590301446467844,0.007722194731141066,0.0013348078515241818,0.005191680005419407,0.0021894152154031325,0.011046936916971615,0.011246966676505842,0.002505337751975646,0.004272971020031762,0.005215566668127762,0.002818735029757725,0.00035306898508742266,0.004097387450890507,0.0010687622691623062,0.0006627995080436037,0.00821285506843142,0.0044879507559554225,0.0063114206810122924,0.000749155002469543
lh_fusiform,0.008445560627421385,0.013865613440991851,0.019369985745989124,0.005016256147621746,0.00760620951841042,0.016135525339307604,0.008672227496424859,0.008491059158015873,0.019531802542836877,0.006366552229191445,0.016766604205260615,0.009423773345473148,0.014533608741663954,0.019806684675428635,0.015440028321943274,0.012542879901284963,0.010700180132996659,0.012977649942826554,0.016294162792004394,0.022462447286432097,0.009324409225037113,0.024373908118700608,0.007514622335281441,0.017174644381025943,0.01618474949529948,0.013199892665656632,0.004369105805415837,0.02526599659959042,0.013132480026475607,0.025564227763353455,0.007709443721039481,0.013259240522509864,0.007095499636178557,0.017384380686016995,0.009556216097394191,0.012595726514738231,0.004340911987969684,0.015220229018794192,0.016458426828607032,0.013153305006523331,0.011671517744774469,0.007138697736235436,0.009880203045496508,0.004227364365595631,0.021116807626712114,0.008130939414520493,0.007350267623705443,0.012151765796652038,0.0057513122817138265,0.016251481175051933,0.03025226333156682,0.022937095283315004,0.006609960924447641,0.011946303054796626,0.014762212496577276,0.02768551017649503,0.012249210055743242,0.017675058793265818,0.009480841687745831,0.021142173505318686,0.019877521097633775,0.011685760125776174,0.024994701809903073,0.03206402525298582,0.015205835045189643,0.01191908752622655,0.01785024291979699,0.03299005514821056,0.007019398972625435,0.011460786716929905,0.011664156679016576,0.017270108890541504,0.007385573237725371,0.015431706196482592,0.010248601296757304
lh_inferiorparietal,0.02264546940994655,0.01245311839832668,0.006936464395592332,0.04017193554223608,0.004990690031402147,0.007074585971918145,0.007099451424074545,0.015768300155979253,0.006104236010337746,0.00972917135163298,0.003290740469734557,0.0157175400899951,0.01625999040006453,0.008636367016584127,0.004721411579572752,0.02520185605172659,0.005755768527481147,0.017628273939886065,0.005876275265056563,0.010963699433321305,0.004209129018969149,0.011075268514572939,0.01339968753040562,0.02241580746425093,0.01738576318870094,0.018485982140534204,0.007313822647448687,0.008077837352526552,0.01696586340998566,0.010695991594407065,0.007385741642316845,0.01404244661972851,0.008659345556269672,0.012705089067952362,0.01037091510054877,0.008578765113656791,0.014076758761191055,0.018280561555196827,0.012235277881126749,0.01382715428225237,0.025785220570267466,0.02259499994252563,0.004173905540166309,0.008173145973794576,0.005475410145144229,0.012044135962309056,0.017491121343646977,0.016080901295454645,0.003267778261548615,0.0208065601776832,0.004514687298438202,0.017898539883536322,0.01463313611581576,0.007880273173757269,0.008238278426061613,0.012759236998889449,0.0017708502089818009,0.013473465580748563,0.012073087883059285,0.008290803369908381,0.013536757085486201,0.01779076972679983,0.02677856766416907,0.018315713104793015,0.006966333726697216,0.011957440818306984,0.014217639880852772,0.008056312861114861,0.008209462524258778,0.006367334134963363,0.009277107493141097,0.006839645943584388,0.015416599507710106,0.024740445640701193,0.008840148036328477
lh_inferiortemporal,0.010660386673329527,0.014787750904997203,0.0029278258764939276,0.001964422652435624,0.010271354514109347,0.020811458266984936,0.011682991083020011,0.007547790424523305,0.011694544505427173,0.014969689088836623,0.02608000608004125,0.002676969118463009,0.002460677408746584,0.00966399051675499,0.03712466142173604,0.0038546639579969165,0.005229974997634398,0.01975310214788692,0.011185824493185751,0.010514778655503374,0.009577823105767734,0.016049419250924415,0.0064920039795059,0.015134549060782671,0.04020706985385236,0.013481191717965628,0.011357212865572746,0.016099994746527242,0.005992178643267613,0.01069621226046509,0.012756790704717908,0.014199170909236745,0.01043756196731443,0.009139370206973784,0.007782761613294519,0.020830218765849385,0.0025897628069551345,0.020568932494287998,0.004455941672037203,0.005951450401137617,0.010985916420688703,0.017720828527696436,0.006737724217919916,0.012484761037495469,0.004484650945692587,0.008921750757120152,0.011948263380251756,0.00750090808728136,0.005455848655245043,0.008256326650457236,0.02517222764441118,0.0050414540877132645,0.024075531115054206,0.003547634127081359,0.012770845363613533,0.008523718968264062,0.01698482706446548,0.009449983541819891,0.006948500078963706,0.008243288863859126,0.006783296197508828,0.015380609065688512,0.00799069303169413,0.013635430223995352,0.008552791793112628,0.02293844787154055,0.012332682731891613,0.018111094475863815,0.004023906729468143,0.013207621575173169,0.007720867239998247,0.0015028012825450334,0.015216658557495393,0.014208110793567812,0.011004739148780113
lh_isthmuscingulate,0.008180112249309802,0.0032534180925616733,0.011932803423688864,0.01616462754681024,0.010364436843419778,0.014019674569316541,0.010552953832203378,0.013790195832327913,0.010658385129039579,0.015144027483250723,0.015918750866248818,0.006610921160947954,0.010868271555401623,0.01065670680992516,0.006733533042199567,0.005800297649090242,0.01848221303659091,0.009093498328069658,0.010832071399935687,0.010423038256687769,0.015346504263532857,0.002241060945706674,0.02992439863491124,0.009442283247870407,0.0024744698655599414,0.013508868587420215,0.026309979327056202,0.013809519331369367,0.012899859833471534,0.005806886896624442,0.02046187410361652,0.0050819110797045465,0.009658545070292776,0.01149289236060338,0.014967555560835144,0.0063423713011100035,0.015523152364766457,0.020238533053566144,0.002750645807164209,0.008884015612416824,0.009135580891480293,0.006695433105913484,0.011752629573359659,0.00788104646088316,0.01583999729408868,0.009106359356718264,0.02971790662209628,0.01378988508455552,0.008707778406847777,0.02286982782977416,0.02317636854814865,0.008439597567004263,0.01673240315516803,0.020061677762892156,0.008739836995166993,0.02474367136650279,0.0020080775703424313,0.005189286116902685,0.012913955330518083,0.017965226118289598,0.011245382555508143,0.017556485840650306,0.012098977240353652,0.016880789379562933,0.007646089426463065,0.029644839103611594,0.022010559926561694,0.007099607050087978,0.006586276009501774,0.007620901268297255,0.015101118593855305,0.005282966377317885,0.008171842892473462,0.0070516853662754,0.015750396594592344
lh_lateraloccipital,0.004147632879442312,0.00857979644369436,0.005555020096218671,0.007403135241935816,0.00997732757501546,0.007882984309732322,0.010842116366176052,0.0013098602223422955,0.007626583541589046,0.018908408625232635,0.002802947168251435,0.010268913169520697,0.005413450089434025,0.008823010599869984,0.008561088285749382,0.009338188452899568,0.008497865827928127,0.027983541644611986,0.008796212122840298,0.0040836581011837745,0.0046460875363204006,0.003957448088592534,0.0029220303258769564,0.018816649677423292,0.016830050648187184,0.004182637310604535,0.00259214851709292,0.016888976525789058,0.0043229715660283085,0.011554264550710087,0.0069465517167164705,0.011838296136299642,0.009837397451999113,0.008042305699380902,0.007834558167046406,0.004632890283519237,0.002804168795271438,0.008880102542506544,0.03293401708910177,0.003465048952719953,0.0010025884194963645,0.005381475078036755,0.01394367333930243,0.004345928513227701,0.01334696951026141,0.009265134253432216,0.0034318570711270677,0.007303493929072188,0.009726701767690886,0.013160769341830697,0.028152014383167737,0.004308037964228369,0.006292599820445777,0.006500509938740501,0.0075546653331622195,0.0069906975846291235,0.0029117873129594673,0.00896090893792411,0.004288725230879147,0.01018083020774832,0.0057253019822638826,0.006201740270070441,0.008443363599355127,0.013369093160863104,0.004687105323626585,0.007866633816605642,0.008558116648818904,0.0026895257239265627,0.002048548536405313,0.003540038046346818,0.015202361935744589,0.016005899611100143,0.005397775467023521,0.0036491654803638978,0.006052269553582259
lh_lateralorbitofrontal,0.014631973010118315,0.022638886024769298,0.001792725349881901,0.009794809594849034,0.02034897393727577,0.028193907354797165,0.01206977604914285,0.01428611238194183,0.01525206918797835,0.009777333805722037,0.015099414021999547,0.003857456612315576,0.004724370068323164,0.03446365858218077,0.027505123007289137,0.010695927056683005,0.027288456696194972,0.007831580187867943,0.005989479377992633,0.030029823721523994,0.012868588670275875,0.013345444694938735,0.01419769630851387,0.008929894325438075,0.02558998329592608,0.013990094141724295,0.01014747948993049,0.005323999763484459,0.012082220947837664,0.015049128765433689,0.012010403879895177,0.035197464096398186,0.02109367841526762,0.010474090156954134,0.012530947388228502,0.010353464363988889,0.012605854780027875,0.011982855687042208,0.013859058933926149,0.0032898748047523398,0.02038912232629078,0.007825422503648828,0.013367187767889562,0.003623947250045442,0.01566271755827174,0.002346972475382205,0.02746331662088908,0.010399319603403354,0.010745225969046009,0.0060696438923335365,0.010724198589997081,0.009910755932085916,0.010264788150971373,0.015442186806742975,0.020643976802989603,0.005049400471387027,0.01022515009783166,0.02613387888078351,0.003507986047713012,0.011533112373114046,0.019364225057201926,0.024027328274618467,0.024278961159289892,0.007304018898602926,0.017686143569531864,0.007834161979765065,0.012080269519147407,0.024299489187961806,0.010660698883047725,0.008211057662349695,0.010238582469330406,0.02739825102219693,0.009714977341940026,0.018407593922875373,0.007999185908990711
