,LENMDA002,RSGK023,LENMDA005,RSGK012,PROBANDRS002,RSGK015,LEGK010,LEGK019,LENMDA035,RSGK014,RSGK013,RSGK025,RSGK022,LEGK011,LEGK016,LEOVERLAP096,LENMDA178,LENMDA124,LENMDA148,LENMDA155,LEUNKNOWN111,LEUNKNOWN119,LENMDA043,LENDMA032,LEOVERLAP150,RSGK007,RSGK031,RSGK009,LENDMA033,RSGK008,LENMDA011,RSGK006,LEGK013,LEGK014,LENMDA097,LEGK025,RSGK018,RSGK020,PROBANDRS001,RSGK029,LENMDA008,RSGK016,RSGK011,LENMDA053,LEGK015,LEGK012,RSGK010,LENMDA036,RSGK021,LENMDA007,RSGK026,LENMDA181,LENMDA175,LEUNKNOWN107,LENMDA186,LENMDA117,LEUNKNOWN108,LENMDA174,LENMDA120,LENMDA133,LEOVERLAP018,LENMDA103,LENDMA126,RSGK004,RSGK003,LENMDA014,LEOVERLAP162,LENMDA085,LEOVERLAP153,LENMDA012,LENMDA015,RSGK002,RSGK005,LEOVERLAP163,LENMDA046
lh_bankssts,37.36363636363637,27.636363636363637,35.72727272727273,21.454545454545453,25.363636363636363,34.36363636363637,25.0,21.90909090909091,20.90909090909091,28.90909090909091,19.90909090909091,26.545454545454547,16.272727272727273,29.181818181818183,36.09090909090909,25.09090909090909,38.63636363636363,32.63636363636363,35.72727272727273,31.09090909090909,26.727272727272727,27.818181818181817,20.181818181818183,14.727272727272727,19.454545454545453,35.0,29.454545454545453,27.181818181818183,17.90909090909091,24.636363636363637,32.54545454545455,25.454545454545453,37.90909090909091,32.54545454545455,35.90909090909091,15.363636363636363,28.727272727272727,25.818181818181817,26.727272727272727,23.09090909090909,38.27272727272727,24.818181818181817,28.454545454545453,23.363636363636363,24.09090909090909,30.727272727272727,38.0,37.09090909090909,23.636363636363637,32.54545454545455,27.272727272727273,32.54545454545455,23.181818181818183,16.818181818181817,23.818181818181817,14.090909090909092,50.36363636363637,36.09090909090909,25.09090909090909,19.454545454545453,23.181818181818183,26.90909090909091,35.81818181818182,26.545454545454547,20.0,27.09090909090909,32.27272727272727,22.272727272727273,18.818181818181817,26.0,34.09090909090909,41.72727272727273,19.0,16.545454545454547,36.09090909090909
lh_caudalanteriorcingulate,23.90909090909091,23.181818181818183,27.545454545454547,34.18181818181818,21.454545454545453,34.72727272727273,37.0,21.545454545454547,33.72727272727273,38.81818181818182,46.09090909090909,28.818181818181817,41.90909090909091,38.54545454545455,33.27272727272727,35.45454545454545,33.09090909090909,28.545454545454547,36.63636363636363,32.54545454545455,24.545454545454547,41.63636363636363,36.45454545454545,37.36363636363637,17.545454545454547,19.181818181818183,30.545454545454547,35.72727272727273,31.454545454545453,32.72727272727273,29.818181818181817,22.727272727272727,35.27272727272727,27.09090909090909,14.272727272727273,34.09090909090909,38.81818181818182,23.363636363636363,39.63636363636363,38.27272727272727,29.90909090909091,39.0,36.27272727272727,26.181818181818183,40.18181818181818,31.636363636363637,25.272727272727273,38.90909090909091,40.81818181818182,37.90909090909091,41.27272727272727,37.27272727272727,40.09090909090909,36.36363636363637,29.545454545454547,44.90909090909091,40.0,22.818181818181817,33.0,26.636363636363637,25.454545454545453,30.09090909090909,29.363636363636363,40.63636363636363,33.0,28.90909090909091,29.727272727272727,25.363636363636363,34.09090909090909,39.36363636363637,45.72727272727273,44.18181818181818,31.545454545454547,22.454545454545453,22.181818181818183
lh_cuneus,36.90909090909091,44.90909090909091,34.18181818181818,38.45454545454545,24.818181818181817,37.72727272727273,28.545454545454547,31.09090909090909,36.36363636363637,27.545454545454547,16.0,21.272727272727273,30.272727272727273,36.81818181818182,31.181818181818183,38.27272727272727,35.72727272727273,33.09090909090909,28.636363636363637,19.90909090909091,32.54545454545455,36.72727272727273,24.09090909090909,33.81818181818182,45.09090909090909,28.90909090909091,33.18181818181818,25.0,37.36363636363637,30.272727272727273,16.545454545454547,41.36363636363637,29.0,24.727272727272727,44.09090909090909,34.18181818181818,23.90909090909091,40.63636363636363,14.454545454545455,35.90909090909091,26.90909090909091,38.36363636363637,35.63636363636363,37.90909090909091,38.0,29.90909090909091,39.63636363636363,27.181818181818183,30.363636363636363,32.81818181818182,45.0,27.09090909090909,22.818181818181817,28.90909090909091,33.90909090909091,19.454545454545453,38.18181818181818,23.0,36.36363636363637,30.0,28.0,35.90909090909091,18.636363636363637,40.27272727272727,28.727272727272727,37.45454545454545,19.636363636363637,28.181818181818183,27.272727272727273,39.54545454545455,28.545454545454547,37.72727272727273,32.90909090909091,21.727272727272727,38.0
lh_entorhinal,34.90909090909091,36.90909090909091,25.727272727272727,30.454545454545453,10.0,19.272727272727273,23.363636363636363,40.63636363636363,12.090909090909092,25.818181818181817,17.727272727272727,25.272727272727273,13.545454545454545,17.636363636363637,25.90909090909091,35.90909090909091,24.272727272727273,32.81818181818182,24.545454545454547,13.727272727272727,22.0,19.09090909090909,15.818181818181818,21.545454545454547,25.363636363636363,22.181818181818183,24.90909090909091,24.727272727272727,24.454545454545453,30.09090909090909,33.18181818181818,25.90909090909091,24.727272727272727,19.636363636363637,29.636363636363637,24.818181818181817,16.454545454545453,27.272727272727273,28.727272727272727,30.181818181818183,21.545454545454547,14.636363636363637,10.636363636363637,20.454545454545453,5.909090909090909,23.181818181818183,29.272727272727273,29.90909090909091,20.0,26.181818181818183,11.090909090909092,20.90909090909091,28.90909090909091,3.6363636363636362,23.363636363636363,25.545454545454547,16.818181818181817,26.90909090909091,12.818181818181818,27.545454545454547,19.272727272727273,30.272727272727273,22.0,10.727272727272727,21.636363636363637,16.636363636363637,17.09090909090909,9.818181818181818,20.454545454545453,10.363636363636363,13.727272727272727,14.454545454545455,22.636363636363637,21.636363636363637,8.636363636363637
lh_fusiform,37.18181818181818,39.18181818181818,38.72727272727273,25.09090909090909,25.363636363636363,44.81818181818182,28.181818181818183,26.636363636363637,44.63636363636363,29.09090909090909,21.09090909090909,36.54545454545455,29.727272727272727,41.45454545454545,36.36363636363637,35.36363636363637,35.36363636363637,33.0,37.18181818181818,40.0,36.90909090909091,35.0,27.363636363636363,36.54545454545455,41.54545454545455,35.09090909090909,33.09090909090909,39.54545454545455,33.18181818181818,42.36363636363637,29.363636363636363,35.18181818181818,29.454545454545453,36.36363636363637,40.09090909090909,31.363636363636363,27.636363636363637,42.90909090909091,28.818181818181817,32.27272727272727,33.54545454545455,31.636363636363637,30.181818181818183,30.454545454545453,43.09090909090909,28.0,44.0,31.363636363636363,25.454545454545453,37.0,25.90909090909091,39.27272727272727,25.727272727272727,37.72727272727273,41.18181818181818,36.36363636363637,41.63636363636363,36.72727272727273,35.27272727272727,40.45454545454545,41.90909090909091,34.90909090909091,44.36363636363637,46.09090909090909,41.18181818181818,41.18181818181818,34.45454545454545,49.81818181818182,35.72727272727273,40.81818181818182,33.18181818181818,26.90909090909091,26.0,34.27272727272727,34.0
lh_inferiorparietal,40.18181818181818,34.72727272727273,28.0,42.81818181818182,27.454545454545453,29.181818181818183,25.09090909090909,36.81818181818182,21.09090909090909,34.09090909090909,11.090909090909092,26.90909090909091,39.81818181818182,27.363636363636363,24.90909090909091,39.81818181818182,23.0,33.81818181818182,22.272727272727273,34.0,25.181818181818183,22.09090909090909,35.63636363636363,40.72727272727273,35.54545454545455,32.72727272727273,36.63636363636363,31.181818181818183,32.54545454545455,31.90909090909091,27.727272727272727,31.363636363636363,29.363636363636363,35.09090909090909,29.09090909090909,26.09090909090909,27.636363636363637,44.18181818181818,31.09090909090909,30.636363636363637,43.09090909090909,43.72727272727273,18.0,30.363636363636363,20.90909090909091,27.818181818181817,35.90909090909091,36.45454545454545,24.0,36.72727272727273,24.545454545454547,34.72727272727273,28.727272727272727,35.36363636363637,24.0,24.545454545454547,19.818181818181817,34.63636363636363,35.63636363636363,25.454545454545453,37.36363636363637,40.27272727272727,26.09090909090909,35.54545454545455,23.545454545454547,32.54545454545455,33.0,40.90909090909091,28.454545454545453,24.545454545454547,34.72727272727273,22.363636363636363,32.18181818181818,38.36363636363637,34.0
lh_inferiortemporal,34.81818181818182,42.81818181818182,22.272727272727273,15.545454545454545,30.0,36.0,31.363636363636363,23.818181818181817,28.454545454545453,33.27272727272727,32.0,26.181818181818183,17.363636363636363,31.818181818181817,49.45454545454545,25.636363636363637,21.454545454545453,32.36363636363637,26.818181818181817,36.90909090909091,31.636363636363637,19.363636363636363,21.545454545454547,29.0,39.27272727272727,31.818181818181817,36.90909090909091,30.454545454545453,25.0,32.27272727272727,26.90909090909091,38.54545454545455,32.09090909090909,31.545454545454547,25.454545454545453,34.45454545454545,15.909090909090908,40.63636363636363,25.90909090909091,25.363636363636363,33.09090909090909,28.0,23.818181818181817,33.09090909090909,19.727272727272727,20.363636363636363,42.63636363636363,24.454545454545453,24.90909090909091,29.363636363636363,11.727272727272727,25.0,43.54545454545455,30.0,34.45454545454545,25.636363636363637,39.63636363636363,27.90909090909091,21.272727272727273,29.636363636363637,25.181818181818183,39.72727272727273,35.0,30.272727272727273,34.45454545454545,40.81818181818182,34.81818181818182,45.09090909090909,21.272727272727273,30.727272727272727,26.90909090909091,14.545454545454545,32.72727272727273,30.545454545454547,32.63636363636363
lh_isthmuscingulate,27.09090909090909,26.545454545454547,37.09090909090909,34.27272727272727,33.27272727272727,34.54545454545455,34.09090909090909,33.18181818181818,35.63636363636363,38.18181818181818,20.272727272727273,21.272727272727273,36.36363636363637,29.454545454545453,28.272727272727273,27.454545454545453,27.636363636363637,29.363636363636363,31.181818181818183,25.09090909090909,36.63636363636363,23.09090909090909,35.45454545454545,29.09090909090909,15.272727272727273,34.0,46.0,32.72727272727273,36.18181818181818,25.727272727272727,42.27272727272727,16.636363636363637,33.63636363636363,36.45454545454545,38.18181818181818,28.0,25.818181818181817,41.63636363636363,17.454545454545453,32.0,27.727272727272727,25.454545454545453,32.45454545454545,32.63636363636363,35.27272727272727,28.818181818181817,22.636363636363637,36.63636363636363,33.09090909090909,43.81818181818182,30.545454545454547,23.454545454545453,33.09090909090909,50.36363636363637,30.545454545454547,39.09090909090909,17.727272727272727,19.727272727272727,33.27272727272727,34.54545454545455,31.545454545454547,32.90909090909091,18.818181818181817,41.27272727272727,26.454545454545453,40.81818181818182,31.545454545454547,38.09090909090909,25.727272727272727,22.272727272727273,38.54545454545455,21.818181818181817,34.72727272727273,29.454545454545453,36.45454545454545
lh_lateraloccipital,28.90909090909091,36.09090909090909,29.727272727272727,32.18181818181818,29.0,38.45454545454545,30.454545454545453,17.636363636363637,38.36363636363637,36.09090909090909,16.09090909090909,36.45454545454545,29.181818181818183,34.0,35.45454545454545,35.81818181818182,32.45454545454545,36.72727272727273,34.90909090909091,25.454545454545453,29.727272727272727,35.72727272727273,23.90909090909091,34.63636363636363,43.63636363636363,26.454545454545453,30.90909090909091,38.09090909090909,29.727272727272727,31.363636363636363,24.636363636363637,43.27272727272727,32.27272727272727,36.18181818181818,42.0,29.272727272727273,25.272727272727273,39.63636363636363,29.727272727272727,24.545454545454547,22.272727272727273,34.27272727272727,38.18181818181818,31.09090909090909,36.09090909090909,39.36363636363637,39.81818181818182,29.09090909090909,34.0,33.0,44.36363636363637,32.63636363636363,31.272727272727273,39.54545454545455,38.09090909090909,23.545454545454547,33.45454545454545,39.63636363636363,28.09090909090909,37.54545454545455,32.36363636363637,38.18181818181818,32.81818181818182,40.27272727272727,36.90909090909091,39.81818181818182,26.636363636363637,25.272727272727273,26.181818181818183,25.545454545454547,30.454545454545453,45.72727272727273,26.818181818181817,22.363636363636363,31.727272727272727
lh_lateralorbitofrontal,32.63636363636363,37.90909090909091,17.0,33.09090909090909,42.54545454545455,31.181818181818183,31.727272727272727,35.54545454545455,33.45454545454545,28.818181818181817,45.27272727272727,29.727272727272727,20.818181818181817,48.09090909090909,43.27272727272727,27.636363636363637,42.45454545454545,27.636363636363637,25.272727272727273,40.81818181818182,31.727272727272727,28.0,37.18181818181818,32.72727272727273,34.54545454545455,35.09090909090909,31.454545454545453,24.363636363636363,35.0,35.81818181818182,38.18181818181818,35.27272727272727,36.18181818181818,29.272727272727273,30.545454545454547,35.45454545454545,25.454545454545453,32.0,34.90909090909091,17.727272727272727,38.0,19.272727272727273,34.54545454545455,20.454545454545453,30.727272727272727,17.545454545454547,42.72727272727273,23.90909090909091,34.45454545454545,22.09090909090909,29.636363636363637,33.63636363636363,37.72727272727273,27.09090909090909,36.90909090909091,27.636363636363637,37.36363636363637,41.09090909090909,20.90909090909091,24.09090909090909,33.09090909090909,37.72727272727273,44.90909090909091,31.454545454545453,36.09090909090909,16.727272727272727,36.81818181818182,43.0,27.636363636363637,26.818181818181817,17.0,38.72727272727273,32.27272727272727,45.36363636363637,30.545454545454547
